,chq,faq
3284,   Does a child with pneumonia on chest x-ray need a follow-up x-ray to document clearing? Pneumonia ,"   In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?"
3285,   What drug should you give to prevent a patient from going back into atrial fibrillation once they convert to sinus rhythm?  Diltiazem?  No drug? Atrial Fibrillation ,   What drug should you give to prevent a patient from going back into atrial fibrillation once they convert?
3286,   What drug should you give to prevent a patient from going back into atrial fibrillation once they convert to sinus rhythm?  Diltiazem?  No drug? Atrial Fibrillation ,   Can testes not being in the scrotum come from just being tense?
3287,"   What is Dr. X's treatment regimen for chronic vulvar pruritus (kraurosis vulvae, lichen simplex atrophicus)? Vulvar Lichen Sclerosus Lichen Sclerosus et Atrophicus Lichen Sclerosus Urinary Incontinence Dermatitis Pruritus Dermatitis, Contact Enuresis Pruritus Vulvae Lichen Planus Skin Diseases Vulvodynia Neurodermatitis Lichen Sclerosus et Atrophicus Lichen Sclerosus ",   What is Dr. X's treatment regimen for chronic vulvar pruritus?
3288,"   What is Dr. X's treatment regimen for chronic vulvar pruritus (kraurosis vulvae, lichen simplex atrophicus)? Vulvar Lichen Sclerosus Lichen Sclerosus et Atrophicus Lichen Sclerosus Urinary Incontinence Dermatitis Pruritus Dermatitis, Contact Enuresis Pruritus Vulvae Lichen Planus Skin Diseases Vulvodynia Neurodermatitis Lichen Sclerosus et Atrophicus Lichen Sclerosus ","   Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?"
3289,   How do you treat persistent yeast vaginitis? Vaginitis ,   How do you treat persistent yeast vaginitis?
3290,   How do you treat persistent yeast vaginitis? Vaginitis ,   What is the name of the ophthalmic drop that has ciprofloxacin in it?
3291,   What is the difference between lichen sclerosis and lichen simplex? Prurigo Vulvar Lichen Sclerosus Lichen Sclerosus et Atrophicus Lichen Sclerosus ,   What is the difference between lichen sclerosis and lichen simplex?
3292,   What is the treatment for alopecia areata? Alopecia Alopecia Areata ,   What is the treatment for alopecia areata?
3293,"   What is the treatment for esophageal spasm? Spasm Esophageal Motility Disorders Esophageal Spasm, Diffuse ",   What is the treatment for esophageal spasm?
3294,   How do you write a prescription for cromolyn ophthalmic drops? ,   How do you write a prescription for cromolyn ophthalmic drops?
3295,   How do you write a prescription for cromolyn ophthalmic drops? ,   How should I treat polymenorrhea in a 14-year-old girl?
3296,"   What are Alomide ophthalmic drops? (good for allergic conjunctivitis?) Conjunctivitis Conjunctivitis, Allergic ",   What are Alomide ophthalmic drops?
3297,"   What are Alomide ophthalmic drops? (good for allergic conjunctivitis?) Conjunctivitis Conjunctivitis, Allergic ",   What is the dose of Levsin drops for a 30-pound child?
3298,"   What are Acular ophthalmic drops? (good for allergic conjunctivitis?) Conjunctivitis Conjunctivitis, Allergic ",   What are Acular ophthalmic drops?
3299,"   What are Acular ophthalmic drops? (good for allergic conjunctivitis?) Conjunctivitis Conjunctivitis, Allergic ","   Woman with polycythemia vera, severe itching, how do you treat itching?"
3300,   What is risperidone (Risperdal)? ,   What is risperidone?
3301,   What is risperidone (Risperdal)? ,   How should I treat polymenorrhea in a 14-year-old girl?
3302,   How do you grade colposcopy results? ,   How do you grade colposcopy findings?
3303,   How do you grade colposcopy results? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
3304,   Is it okay to use the nicotine patch during pregnancy? ,   Is it okay to use the nicotine patch during pregnancy?
3305,   Is it okay to use the nicotine patch during pregnancy? ,   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
3306,   What is the reference to that article on the consensus statement about treatment and prevention of kidney stones (renal lithiasis)? Nephrolithiasis Kidney Calculi Nephrolithiasis Kidney Calculi ,   What is the reference to that consensus statement on treatment and prevention of kidney stones?
3307,   What is the reference to that article on the consensus statement about treatment and prevention of kidney stones (renal lithiasis)? Nephrolithiasis Kidney Calculi Nephrolithiasis Kidney Calculi ,   Why did she get Coccidiomycosis?
3308,"   What is the difference between the glycohemoglobin (total) and the glycohemoglobin A1C on the Laboratory X report compared to the ""glycosylated hemoglobin"" we used to get from Laboratory Y? ","   What is the difference between total glycohemoglobin, glycohemoglobin A1C, and glycosylated hemoglobin?"
3309,"   What is the difference between the glycohemoglobin (total) and the glycohemoglobin A1C on the Laboratory X report compared to the ""glycosylated hemoglobin"" we used to get from Laboratory Y? ",   What is the cause and treatment of this old man's stomatitis?
3310,   Is it safe to take Midrin while breast feeding? ,   Is it safe to take Midrin while breast feeding?
3311,   Is it safe to take Midrin while breast feeding? ,   How should I treat polymenorrhea in a 14-year-old girl?
3312,"   Should a 47-year-old purified-protein-derivative (PPD) reactor (not converter) have a chest x-ray?, take isoniazid?, for how long? ",   Should a 47-year-old purified-protein-derivative (PPD) reactor (not converter) take isoniazid?
3313,"   Should a 47-year-old purified-protein-derivative (PPD) reactor (not converter) have a chest x-ray?, take isoniazid?, for how long? ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3314,"   If the purified-protein-derivative (PPD) is positive, should purified-protein-derivatives ever be placed again if isoniazid is used?, if isoniazid is not used? ","   If the purified-protein-derivative (PPD) is positive, should purified-protein-derivatives ever be placed again?"
3315,"   If the purified-protein-derivative (PPD) is positive, should purified-protein-derivatives ever be placed again if isoniazid is used?, if isoniazid is not used? ",   I wonder if this patient could have a rotator cuff thing?
3316,   What is the reference to those articles by Dr. X on characteristics of an effective researcher? ,   What is the reference to those articles by Dr. X on characteristics of an effective researcher?
3317,   What is the best treatment for fungal external otitis? Otitis Otitis Externa Otomycosis ,   What is the best treatment for fungal external otitis?
3318,   What is the best treatment for fungal external otitis? Otitis Otitis Externa Otomycosis ,   Why do I have to get the mammogram before I send her to needle the breast mass?
3319,   What are the skin lines under the eyes in people with allergies called? ,   What are the skin lines under the eyes in people with allergies called?
3320,   What are the skin lines under the eyes in people with allergies called? ,   I wonder if this patient could have a rotator cuff thing?
3321,   What is the antibiotic of choice for acute sinusitis? Sinusitis Maxillary Sinusitis ,   What is the antibiotic of choice for acute sinusitis?
3322,   What is the antibiotic of choice for acute sinusitis? Sinusitis Maxillary Sinusitis ,   What do you do with a lead level of 10 in an 11 month old?
3323,   What is the dose of penicillin for streptococcal sore throat? Pharyngitis ,   What is the dose of penicillin for streptococcal sore throat?
3324,   What is the dose of penicillin for streptococcal sore throat? Pharyngitis ,   What is the dose of Sporanox?
3325,"   What is the best treatment for external otitis? Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ",   What is the best treatment for external otitis?
3326,"   What is the best treatment for external otitis? Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ",   This patient has a blue lesion on her abdomen.  What is it?
3327,   Do angiotensin converting enzyme inhibitors prolong survival if given routinely after a myocardial infarction? Myocardial Infarction Infarction ,   Do angiotensin converting enzyme inhibitors prolong survival if given after a myocardial infarction?
3328,   Do angiotensin converting enzyme inhibitors prolong survival if given routinely after a myocardial infarction? Myocardial Infarction Infarction ,   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
3329,   What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)? Death Brain Death ,   What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)?
3330,   What were the circumstances of the recent deaths reported with sumatriptan (Imitrex)? Death Brain Death ,"   Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?"
3331,   What does a high mean platelet volume mean? ,   What does a high mean platelet volume mean?
3332,   What blood sugars should you try to achieve when treating a gestational diabetic? Pregnancy in Diabetics ,   What blood sugars should you achieve when treating a gestational diabetic?
3333,   What blood sugars should you try to achieve when treating a gestational diabetic? Pregnancy in Diabetics ,   How should I treat polymenorrhea in a 14-year-old girl?
3334,   How often should white blood cell counts be monitored in patients on carbamazepine? ,   How often should white blood cell counts be monitored in patients on carbamazepine?
3335,   How often should white blood cell counts be monitored in patients on carbamazepine? ,   How should I treat polymenorrhea in a 14-year-old girl?
3336,   What causes orange breast milk? Pregnancy in Diabetics ,   What causes orange breast milk?
3337,"   How should we be treating diabetes now that the Diabetes Control and Complications Trial is finished? Diabetes Mellitus, Type 2 Diabetes Mellitus Diabetes Mellitus, Type 2 Diabetes Mellitus ",   How should we treat diabetes now that the Diabetes Control and Complications Trial is finished?
3338,"   How should we be treating diabetes now that the Diabetes Control and Complications Trial is finished? Diabetes Mellitus, Type 2 Diabetes Mellitus Diabetes Mellitus, Type 2 Diabetes Mellitus ",   What is Dynabac (dirithromycin)? Coverage? Indications? Take with food? Dose?
3339,"   If someone has an artificial heart valve and their child has documented streptococcal sore throat, do they need to be treated with penicillin? Pharyngitis ","   If someone has an artificial heart valve and their child has a streptococcal sore throat, do they need penicillin?"
3340,"   If someone has an artificial heart valve and their child has documented streptococcal sore throat, do they need to be treated with penicillin? Pharyngitis ",   Why did she get Coccidiomycosis?
3341,   What causes marathon runner's amenorrhea?  Should it be worked up or treated? Amenorrhea ,   What causes marathon runner's amenorrhea?
3342,   What causes marathon runner's amenorrhea?  Should it be worked up or treated? Amenorrhea ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
3343,"   If a patient tries to give blood and tests positive for human immunodeficiency virus (HIV), will the blood bank notify the patient? ","   If a patient gives blood and tests positive for human immunodeficiency virus, will the blood bank notify the patient?"
3344,"   If a patient tries to give blood and tests positive for human immunodeficiency virus (HIV), will the blood bank notify the patient? ",   What is the cause and treatment of this old man's stomatitis?
3345,   What are the names of the three lateral ankle ligaments? ,   What are the names of the three lateral ankle ligaments?
3346,   What are the names of the three lateral ankle ligaments? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
3347,   How many people with a condition or exposure do you need before you can enter them into a logistic regression model? ,   How many people with a condition or exposure do you need before you can enter them into a logistic regression model?
3348,   What is the best treatment for restless legs syndrome? Syndrome Restless Legs Syndrome Psychomotor Agitation ,   What is the best treatment for restless legs syndrome?
3349,   What is the best treatment for restless legs syndrome? Syndrome Restless Legs Syndrome Psychomotor Agitation ,   Lymph nodes -- when do you refer and when do you just watch?
3350,   What is the difference between restless legs syndrome and nocturnal myoclonus? Syndrome Sleep Apnea Syndromes Sleep Initiation and Maintenance Disorders Myoclonus Nocturnal Myoclonus Syndrome Syndrome Restless Legs Syndrome Psychomotor Agitation ,   What is the difference between restless legs syndrome and nocturnal myoclonus?
3351,   What are and how common are the risks from first trimester bleeding if the patient goes on to complete the pregnancy? Hemorrhage ,   What are and how common are the risks from first trimester bleeding if the patient completes the pregnancy?
3352,   What are and how common are the risks from first trimester bleeding if the patient goes on to complete the pregnancy? Hemorrhage ,   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
3353,   Do the same types of human papilloma virus that cause condylomata also cause cervical carcinoma? Carcinoma Papilloma Papillomavirus Infections Condylomata Acuminata ,   Do the same types of human papilloma virus that cause condylomata also cause cervical carcinoma?
3354,   Do the same types of human papilloma virus that cause condylomata also cause cervical carcinoma? Carcinoma Papilloma Papillomavirus Infections Condylomata Acuminata ,   Is melatonin good for anything?  What is the dose?
3355,   What is the normal liver span by percussion on physical exam? ,   What is the normal liver span by percussion on physical exam?
3356,   What is the normal liver span by percussion on physical exam? ,   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
3357,"   What are the CAGE (cut-down, annoyed, guilt, eye-opener) questions? Obesity, Morbid ","   What are the CAGE (cut-down, annoyed, guilt, eye-opener) questions?"
3358,"   What are the CAGE (cut-down, annoyed, guilt, eye-opener) questions? Obesity, Morbid ",   How do you remove the memory from the Glucotrol Elite Glucometer?
3359,   What evaluation should diabetics have at every clinic visit or other periodic evaluation? ,   What evaluation should diabetics have at every clinic visit?
3360,   What evaluation should diabetics have at every clinic visit or other periodic evaluation? ,"   Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?"
3361,   How do you use the 24-hour total creatinine excretion to determine if you have an adequate 24-hour urine collection? ,   How do you use the 24-hour total creatinine excretion to determine if you have an adequate 24-hour urine collection?
3362,   How do you use the 24-hour total creatinine excretion to determine if you have an adequate 24-hour urine collection? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
3363,   How soon after a vasectomy is it okay to have intercourse? ,   How soon after a vasectomy is it okay to have intercourse?
3364,   How soon after a vasectomy is it okay to have intercourse? ,   How do you inject the bicipital tendon?
3365,"   If the C5-C6 disc is bulging, which nerve root does this affect and same for other discs? ","   If the C5-C6 disc is bulging, which nerve root does this affect and same for other discs?"
3366,"   If the C5-C6 disc is bulging, which nerve root does this affect and same for other discs? ",   How should I treat polymenorrhea in a 14-year-old girl?
3367,"   If the mother of a teenage girl says she's worried that her daughter may be on drugs because her pupils are dilated and she acts drugged and wants to know what to do, what should you tell her? Obesity, Morbid ","   If the mother of a teenage girl says she's worried that her daughter may be on drugs, what should you tell her?"
3368,"   If the mother of a teenage girl says she's worried that her daughter may be on drugs because her pupils are dilated and she acts drugged and wants to know what to do, what should you tell her? Obesity, Morbid ",   How should I treat polymenorrhea in a 14-year-old girl?
3369,   What is the cubital tunnel syndrome? Syndrome Cubital Tunnel Syndrome ,   What is the cubital tunnel syndrome?
3370,   What is Ambien (zolpidem) and is it any good?  Is it okay to prescribe it chronically? ,   What is Ambien (zolpidem) and is it any good?
3371,   What is Ambien (zolpidem) and is it any good?  Is it okay to prescribe it chronically? ,   How should I treat polymenorrhea in a 14-year-old girl?
3372,   What does the JNC (Joint National Commission) say about which antihypertensive to start first (and what to add) in someone with no other illnesses or mitigating circumstances? ,   What does the Joint National Commission say about which antihypertensive to start first?
3373,   What does the JNC (Joint National Commission) say about which antihypertensive to start first (and what to add) in someone with no other illnesses or mitigating circumstances? ,"   Are children more susceptible to flea bites, are there preventive measures?"
3374,   Should a woman with an uncomplicated lower urinary tract infection have any follow-up after treatment? Infection Communicable Diseases Urinary Tract Infections ,   Should a woman with an uncomplicated lower urinary tract infection have any follow-up after treatment?
3375,   Should a woman with an uncomplicated lower urinary tract infection have any follow-up after treatment? Infection Communicable Diseases Urinary Tract Infections ,   Let's give these immunizations.  That's right isn't it?
3376,   What is the earliest gestational age you can do a nonstress test? ,   What is the earliest gestational age you can do a nonstress test?
3377,   What is the earliest gestational age you can do a nonstress test? ,   Is melatonin good for anything?  What is the dose?
3378,"   What is the earliest gestational age you would use tocolysis for preterm labor? Premature Birth Obstetric Labor, Premature ",   What is the earliest gestational age you would use tocolysis for preterm labor?
3379,"   What is the earliest gestational age you would use tocolysis for preterm labor? Premature Birth Obstetric Labor, Premature ",   What shots do I need to go to Egypt?
3380,"   How do you treat preterm labor?  What tests should be done during speculum exam?  What is the dose of Terbutaline for tocolysis in preterm labor (premature labor)? Premature Birth Obstetric Labor, Premature Premature Birth Obstetric Labor, Premature ",   How do you treat preterm labor?
3381,"   How do you treat preterm labor?  What tests should be done during speculum exam?  What is the dose of Terbutaline for tocolysis in preterm labor (premature labor)? Premature Birth Obstetric Labor, Premature Premature Birth Obstetric Labor, Premature ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3382,   What is Urised? ,   What is Urised?
3383,   What is new and different about Dyazide (not formulated the same as it was according to patient)? ,   What is new and different about Dyazide (not formulated the same as it was)?
3384,   What is new and different about Dyazide (not formulated the same as it was according to patient)? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3385,   How much bicarbonate should be added to Xylocaine to buffer it to make the injection less painful? ,   How much bicarbonate should be added to Xylocaine to buffer it to make the injection less painful?
3386,   How much bicarbonate should be added to Xylocaine to buffer it to make the injection less painful? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
3387,   How would you treat a 49-year-old woman with suspected dysfunctional uterine bleeding (anovulatory bleeding)? Hemorrhage Uterine Hemorrhage Metrorrhagia Hemorrhage Uterine Hemorrhage Metrorrhagia ,   How would you treat a 49-year-old woman with suspected dysfunctional uterine bleeding?
3388,   How would you treat a 49-year-old woman with suspected dysfunctional uterine bleeding (anovulatory bleeding)? Hemorrhage Uterine Hemorrhage Metrorrhagia Hemorrhage Uterine Hemorrhage Metrorrhagia ,   Why did she get Coccidiomycosis?
3389,"   What is the best way to make an elbow splint for an acute fracture? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What is the best way to make an elbow splint for an acute fracture?
3390,"   What is the best way to make an elbow splint for an acute fracture? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   What is the cause and treatment of this old man's stomatitis?
3391,   How can you do a screening motor exam of the hand? ,   How can you do a screening motor exam of the hand?
3392,   How can you do a screening motor exam of the hand? ,   50-year-old man with Paget's disease.  Should I treat medically?
3393,"   Is there a danger of asymmetric growth in a 9-year-old girl with a nondisplaced Salter II fracture of the distal humerus? Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   Is there a danger of asymmetric growth in a 9-year-old with a nondisplaced Salter II fracture of the distal humerus?
3394,"   What would cause a low body temperature (95, 96 degrees) besides hypothermia? Heart Arrest Hypothermia ",   What would cause a low body temperature (95 degrees) besides hypothermia?
3395,"   What would cause a low body temperature (95, 96 degrees) besides hypothermia? Heart Arrest Hypothermia ",   Let's give these immunizations.  That's right isn't it?
3396,   Are there any diseases where doing cardiopulmonary resuscitation (CPR) is futile and you would not have to offer it as an option? ,   Are there any diseases where doing cardiopulmonary resuscitation is futile and you would not have to offer it?
3397,   Are there any diseases where doing cardiopulmonary resuscitation (CPR) is futile and you would not have to offer it as an option? ,   Let's give these immunizations.  That's right isn't it?
3398,"   Is there any kind of legitimate arthritis cream you could prescribe for a patient? Arthritis Arthritis, Rheumatoid ",   Is there any kind of legitimate arthritis cream you could prescribe?
3399,"   Is there any kind of legitimate arthritis cream you could prescribe for a patient? Arthritis Arthritis, Rheumatoid ",   What to do for asymptomatic carotid bruits or carotid bruits in general?
3400,"   What are the indications for and dose for ticlopidine (Ticlid), Plavix (clopidogrel) and aspirin for prevention of transient ischemic attack and stroke? Stroke ","   What are the indications for ticlopidine, clopidogrel and aspirin for prevention of transient ischemic attack and stroke?"
3401,"   What are the indications for and dose for ticlopidine (Ticlid), Plavix (clopidogrel) and aspirin for prevention of transient ischemic attack and stroke? Stroke ",   How should I treat polymenorrhea in a 14-year-old girl?
3402,   Should a 6-week-old infant exposed to chicken pox in a sibling receive varicella-zoster immune globulin (VZIG) or acyclovir? ,   Should a 6-week-old exposed to chickenpox receive varicella-zoster immune globulin or acyclovir?
3403,   Should a 6-week-old infant exposed to chicken pox in a sibling receive varicella-zoster immune globulin (VZIG) or acyclovir? ,   Why did she get Coccidiomycosis?
3404,   Are tear duct plugs (temporary or permanent) a legitimate treatment for dry eyes? Keratoconjunctivitis Sicca Dry Eye Syndromes ,   Are tear duct plugs a legitimate treatment for dry eyes?
3405,   What is gemfibrozil and what is it good for (being used in a patient with high triglycerides)? ,   What is gemfibrozil and what is it good for?
3406,   What is gemfibrozil and what is it good for (being used in a patient with high triglycerides)? ,   Has had shingles for 4 days -- Can I still give Zovirax?
3407,   Is this an accurate formula to calculate low-density-lipoprotein (LDL)-cholesterol?  LDL = (total cholesterol - high-density-lipoprotein) - (0.2 * triglycerides) ,   Is this an accurate formula to calculate low-density-lipoprotein -cholesterol?
3408,   Is this an accurate formula to calculate low-density-lipoprotein (LDL)-cholesterol?  LDL = (total cholesterol - high-density-lipoprotein) - (0.2 * triglycerides) ,   Let's give these immunizations.  That's right isn't it?
3409,   Can being on prednisone cause a high serum iron? ,   Can prednisone cause a high serum iron?
3410,   Can being on prednisone cause a high serum iron? ,   How do you inject the bicipital tendon?
3411,"   What are the indications for ribavirin in RSV (respiratory syncytial virus, bronchiolitis)? Seizures Bronchiolitis Hyponatremia Seizures Bronchiolitis Hyponatremia ",   What are the indications for ribavirin in respiratory syncytial virus?
3412,"   What are the indications for ribavirin in RSV (respiratory syncytial virus, bronchiolitis)? Seizures Bronchiolitis Hyponatremia Seizures Bronchiolitis Hyponatremia ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
3413,   Does having had a cone biopsy in the past affect the length of labor? ,   Does having had a cone biopsy affect the length of labor?
3414,   Does having had a cone biopsy in the past affect the length of labor? ,   What antibiotic should I use for this diabetic patient's infected foot ulcer?
3415,   What would cause a patient to have a low free T4 (thyroxine) and a high TSH (thyroid stimulating hormone) when the hypothyroid patient is on Synthroid chronically (0.25 milligrams every day)? Hypothyroidism ,   What would cause a patient to have a low thyroxine and a high thyroid stimulating hormone when the patient is on Synthroid chronically?
3416,   What would cause a patient to have a low free T4 (thyroxine) and a high TSH (thyroid stimulating hormone) when the hypothyroid patient is on Synthroid chronically (0.25 milligrams every day)? Hypothyroidism ,   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
3417,   What are the clinical features and treatment of floating rib or overlapping rib syndrome?  (Slipping rib syndrome) Syndrome Chest Pain Tietze's Syndrome Tietze Syndrome Syndrome Chest Pain Tietze's Syndrome Tietze Syndrome ,   What are the clinical features and treatment of floating rib or slipping rib or overlapping rib syndrome?
3418,   How do you treat emphysematous cystitis? Syndrome Chest Pain Tietze's Syndrome Tietze Syndrome ,   How do you treat emphysematous cystitis?
3419,   What are the indications for Sandostatin (somatostatin)? ,   What are the indications for Sandostatin?
3420,   What is paregoric? ,   What is paregoric?
3421,   What would cause a normal free T4 (free thyroxine) with a high thyroid stimulating hormone (TSH) in someone on thyroid replacement? ,   What would cause a normal free thyroxine with a high thyroid stimulating hormone in someone on thyroid replacement?
3422,   What would cause a normal free T4 (free thyroxine) with a high thyroid stimulating hormone (TSH) in someone on thyroid replacement? ,"   Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it."
3423,   What is the next step in the workup of a patient with a high free T4 (free thyroxine) and a low thyroid stimulating hormone (TSH)? ,   What is the next step in the workup of a patient with a high free thyroxine and a low thyroid stimulating hormone?
3424,   What is the next step in the workup of a patient with a high free T4 (free thyroxine) and a low thyroid stimulating hormone (TSH)? ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
3425,"   What are the indications for trying to diagnose and/or treat Helicobacter pylori in patients with peptic disease and nonulcer dyspepsia?  What are the indications for testing for Helicobacter pylori, especially by serology? Syndrome Chest Pain Tietze's Syndrome Tietze Syndrome Dyspepsia Abdominal Pain Quality of Life Infection Sprains and Strains ",   What are the indications for trying to diagnose and treat Helicobacter pylori in patients with peptic disease and nonulcer dyspepsia?
3426,"   What are the indications for trying to diagnose and/or treat Helicobacter pylori in patients with peptic disease and nonulcer dyspepsia?  What are the indications for testing for Helicobacter pylori, especially by serology? Infection Sprains and Strains Dyspepsia Abdominal Pain Quality of Life Infection Sprains and Strains ","   Nonfasting blood sugar approximately 377, fasting approximately 45. Is there a better name for glucose intolerance?"
3427,"   Is it true, as Dr. X says, that inhaled steroids should be used even in mild intermittent asthma to prevent loss of beta agonist reactivity?  If so should they be used continuously or intermittently? Asthma ",   Should inhaled steroids be used even in mild intermittent asthma to prevent loss of beta agonist reactivity?
3428,"   Is it true, as Dr. X says, that inhaled steroids should be used even in mild intermittent asthma to prevent loss of beta agonist reactivity?  If so should they be used continuously or intermittently? Asthma ",   Let's give these immunizations.  That's right isn't it?
3429,   How does hypokalemia affect the electrocardiogram? Hypokalemia Potassium Deficiency ,   How does hypokalemia affect the electrocardiogram?
3430,   How does hypokalemia affect the electrocardiogram? Hypokalemia Potassium Deficiency ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
3431,   What causes hypoalbuminemia and how do you treat it? Renal Insufficiency Acute Kidney Injury Hypoalbuminemia ,   What causes hypoalbuminemia and how do you treat it?
3432,   What causes hypoalbuminemia and how do you treat it? Renal Insufficiency Acute Kidney Injury Hypoalbuminemia ,   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
3433,   What would cause urinary retention in an elderly woman? ,   What would cause urinary retention in an elderly woman?
3434,   What would cause urinary retention in an elderly woman? ,"   What to do with this patient, biopsy shows carcinoma in situ of the vulva?"
3435,   What would cause a jaw tremor in an elderly woman? Essential Tremor Tremor ,   What would cause a jaw tremor in an elderly woman?
3436,   What would cause a jaw tremor in an elderly woman? Essential Tremor Tremor ,   Is it possible for someone to get recurrent pelvic inflammatory disease without a new exposure?
3437,   Why would someone with rhabdomyolysis have a low serum albumin? Rhabdomyolysis ,   Why would someone with rhabdomyolysis have a low serum albumin?
3438,   Why would someone with rhabdomyolysis have a low serum albumin? Rhabdomyolysis ,   How do you inject the bicipital tendon?
3439,"   Why does the calcium tend to fall when the phosphorus rises in kidney failure? Renal Insufficiency Kidney Failure, Chronic ",   Why does the calcium tend to fall when the phosphorus rises in kidney failure?
3440,"   Why does the calcium tend to fall when the phosphorus rises in kidney failure? Renal Insufficiency Kidney Failure, Chronic ",   I wonder if this patient could have a rotator cuff thing?
3441,   Why does alkalinizing the urine help in patients with rhabdomyolysis? Rhabdomyolysis ,   Why does alkalinizing the urine help in patients with rhabdomyolysis?
3442,   Why does alkalinizing the urine help in patients with rhabdomyolysis? Rhabdomyolysis ,   At what ages should you do a Denver Developmental Screening Test?
3443,   What would cause a high blood urea nitrogen (75) with a near normal creatinine (1.5)? ,   What would cause a high blood urea nitrogen (75) with a near normal creatinine (1.5)?
3444,   What would cause a high blood urea nitrogen (75) with a near normal creatinine (1.5)? ,   How do you inject the bicipital tendon?
3445,   What is a list of things that are easy to forget to do in obstetric care and when admitting a patient in labor? ,   What is a list of things that are easy to forget to do when admitting a patient in labor?
3446,   What is a list of things that are easy to forget to do in obstetric care and when admitting a patient in labor? ,   Let's give these immunizations.  That's right isn't it?
3447,   How do you treat intrapartum suspected chorioamnionitis (fever in labor)? Chorioamnionitis Fever Q Fever Q Fever ,   How do you treat intrapartum suspected chorioamnionitis (fever in labor)?
3448,   How do you treat intrapartum suspected chorioamnionitis (fever in labor)? Chorioamnionitis Fever Q Fever Q Fever ,   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
3449,   Why would you want to get a plasma potassium level as opposed to a serum potassium level? ,   Why would you want to get a plasma potassium level as opposed to a serum level?
3450,   Why would you want to get a plasma potassium level as opposed to a serum potassium level? ,   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
3451,   What are the causes of low voltage on the electrocardiogram? ,   What are the causes of low voltage on the electrocardiogram?
3452,   What are the causes of low voltage on the electrocardiogram? ,   How do you use Redux?  What are the indications?
3453,"   Could an osteoarthropathy associated with chronic lymphocytic leukemia (CLL) cause bilateral ankle pain? Leukemia Leukemia, Lymphoid Leukemia, Lymphocytic, Chronic, B-Cell Chronic Lymphocytic Leukemia Hypertrophy Osteoarthropathy, Primary Hypertrophic Osteoarthropathy, Secondary Hypertrophic Pachydermoperiostosis Disease Progression Leukemia Leukemia, Lymphoid Leukemia, Lymphocytic, Chronic, B-Cell Chronic Lymphocytic Leukemia Joint Diseases Hemophilia A Hemophilia ",   Could an osteoarthropathy associated with chronic lymphocytic leukemia cause ankle pain?
3454,"   Could an osteoarthropathy associated with chronic lymphocytic leukemia (CLL) cause bilateral ankle pain? Leukemia Leukemia, Lymphoid Leukemia, Lymphocytic, Chronic, B-Cell Chronic Lymphocytic Leukemia Hypertrophy Osteoarthropathy, Primary Hypertrophic Osteoarthropathy, Secondary Hypertrophic Pachydermoperiostosis Disease Progression Leukemia Leukemia, Lymphoid Leukemia, Lymphocytic, Chronic, B-Cell Chronic Lymphocytic Leukemia Joint Diseases Hemophilia A Hemophilia ",   What antibiotic should I use for this diabetic patient's infected foot ulcer?
3455,   When should you get the electroencephalogram in a child admitted with a first seizure of unknown etiology? Seizures Brain Diseases ,   When should you get the electroencephalogram in a child admitted with a first seizure?
3456,   When should you get the electroencephalogram in a child admitted with a first seizure of unknown etiology? Seizures Brain Diseases ,   How do you use Redux?  What are the indications?
