chq,faq,Entities,labels
   What is the standard workup for infertility and how do you use Clomid if the problem is anovulation?  Do you need to check urinary luteinizing hormone (LH) while using Clomid?,"
   Is Aeromonas caviae pathogenic?
","['anovulation', 'infertility']",0
   What could cause fasciculations in the calf?,"
   What could cause fasciculations in the calf?
",['fasciculations'],1
   What could cause fasciculations in the calf?,How should I treat polymenorrhea in a 14-year-old girl?,['fasciculations'],0
What should you do with extreme bradycardia (35) in an asymptomatic adult?,What should you do with extreme bradycardia (35) in an asymptomatic adult?,['bradycardia'],1
   What was that Web address with the rules for purified-protein-derivative (PPD) reaction and isoniazid (INH) prophylaxis for tuberculosis?,"
   What was that Web address with rules for purified-protein-derivative (PPD) reaction and isoniazid prophylaxis?
","['isoniazid', 'tuberculosis', 'INH']",1
   What was that Web address with the rules for purified-protein-derivative (PPD) reaction and isoniazid (INH) prophylaxis for tuberculosis?,"
   Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)
","['isoniazid', 'tuberculosis', 'INH']",0
   What does the prenatal care checklist include?,"
   What does the prenatal care checklist include?
",[],1
   What does the prenatal care checklist include?,"
   Let's give these immunizations.  That's right isn't it?
",[],0
   What is the best treatment for dry mouth (xerostomia)?  Artificial saliva?,"
   What is the best treatment for dry mouth?
","['dry mouth', 'xerostomia']",1
   What is the best treatment for dry mouth (xerostomia)?  Artificial saliva?,"
   What are the side effects of Florinef?  Could it cause headaches?
","['dry mouth', 'xerostomia']",0
"What is the purpose for getting an alpha-1-antitrypsin level in a patient with emphysema, since there's nothing you can do about it anyway?",What is the purpose for getting an alpha-1-antitrypsin level in a patient with emphysema?,"['emphysema', 'anyway', 'alpha-1-antitrypsin']",1
"What is the purpose for getting an alpha-1-antitrypsin level in a patient with emphysema, since there's nothing you can do about it anyway?","
   I wonder if this patient could have a rotator cuff thing?
","['emphysema', 'anyway', 'alpha-1-antitrypsin']",0
   What screening tests and procedures should be done with otherwise healthy adults?,"
   What screening tests should be done on healthy adults?
",[],1
   What screening tests and procedures should be done with otherwise healthy adults?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",[],0
   How do you make the diagnosis of proctalgia fugax and how do you treat it?,"
   How do you make the diagnosis of proctalgia fugax and how do you treat it?
",['fugax'],1
   How do you make the diagnosis of proctalgia fugax and how do you treat it?,"
   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
",['fugax'],0
   What is the Delphi technique and how do you do it?,"
   What is the Delphi technique and how do you do it?
",['Delphi'],1
   How do you listen for a renal artery bruit (what technique)?,"
   How do you listen for a renal artery bruit?
",['listen'],1
   How do you listen for a renal artery bruit (what technique)?,"
   What is a good steroid eye drop?
",['listen'],0
   What is the current protocol for management of abnormal Papanicolaou smears and colposcopy?,"
   What is the management of abnormal Papanicolaou smears and colposcopy?
",[],1
   What is the current protocol for management of abnormal Papanicolaou smears and colposcopy?,"
   How do you inject the bicipital tendon?
",[],0
   What metabolic work-up should a patient have with recurrent kidney stones?,"
   What metabolic workup should a patient with recurrent kidney stones have?
",['kidney stones'],1
   What metabolic work-up should a patient have with recurrent kidney stones?,"
   What size package does Compazine come in?
",['kidney stones'],0
   What are the American Academy of Pediatrics guidelines on treating hyperbilirubinemia in the neonate?,"
   What are the American Academy of Pediatrics guidelines on treating hyperbilirubinemia in the neonate?
",['hyperbilirubinemia'],1
   What are the American Academy of Pediatrics guidelines on treating hyperbilirubinemia in the neonate?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['hyperbilirubinemia'],0
"   In a diabetic, already on an adequate dose of angiotensin converting enzyme (ACE) inhibitor for high microalbuminuria or hypertension, is there any reason to continue to screen for microalbuminuria?  Or should you just follow the creatinine?","
   In a diabetic already on an angiotensin converting enzyme inhibitor, is there any reason to screen for microalbuminuria?
","['creatinine', 'microalbuminuria', 'angiotensin', 'diabetic', 'hypertension']",1
"   In a diabetic, already on an adequate dose of angiotensin converting enzyme (ACE) inhibitor for high microalbuminuria or hypertension, is there any reason to continue to screen for microalbuminuria?  Or should you just follow the creatinine?","
   Why did she get Coccidiomycosis?
","['creatinine', 'microalbuminuria', 'angiotensin', 'diabetic', 'hypertension']",0
"   What is an ""adequate dose"" of benazepril for microalbuminuria (assuming no problems with hypotension).  The original studies were done with captopril, but now we use benazepril or some other angiotensin converting enzyme ACE inhibitor.","
   What is an adequate dose of benazepril for microalbuminuria?
","['benazepril', 'captopril', 'microalbuminuria', 'angiotensin', 'hypotension']",1
"   What is an ""adequate dose"" of benazepril for microalbuminuria (assuming no problems with hypotension).  The original studies were done with captopril, but now we use benazepril or some other angiotensin converting enzyme ACE inhibitor.","
   Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?
","['benazepril', 'captopril', 'microalbuminuria', 'angiotensin', 'hypotension']",0
   Should you expect the microalbuminuria to go away with angiotensin converting enzyme (ACE) inhibitor treatment?,"
   Should you expect microalbuminuria to go away with an angiotensin converting enzyme inhibitor?
","['microalbuminuria', 'angiotensin']",1
   Should you expect the microalbuminuria to go away with angiotensin converting enzyme (ACE) inhibitor treatment?,"
   Patient with hypertension and abdominal bruit.  Should I order an intravenous pyelogram?
","['microalbuminuria', 'angiotensin']",0
"   If the patient is already on an adequate dose of angiotensin converting enzyme (ACE) inhibitor for hypertension, and they then develop new microalbuminuria, is there anything further to do?","
   If a patient is already on an angiotensin converting enzyme inhibitor and then develops microalbuminuria, is there anything to do?
","['hypertension', 'microalbuminuria', 'angiotensin']",1
"   If the patient is already on an adequate dose of angiotensin converting enzyme (ACE) inhibitor for hypertension, and they then develop new microalbuminuria, is there anything further to do?","
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['hypertension', 'microalbuminuria', 'angiotensin']",0
   How often should glucose be monitored in a baby born to a mother with gestational onset diabetes or other risk factor and how do you treat hypoglycemia in the newborn?,"
   How often should glucose be monitored in a baby born to a mother with gestational diabetes?
","['glucose', 'hypoglycemia', 'diabetes']",1
   How often should glucose be monitored in a baby born to a mother with gestational onset diabetes or other risk factor and how do you treat hypoglycemia in the newborn?,"
   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
","['glucose', 'hypoglycemia', 'diabetes']",0
   Is Amaryl (glimepiride) better than other sulfonylureas for diabetes?,"
   Is glimepiride better than other sulfonylureas for diabetes?
","['Amaryl', 'diabetes', 'sulfonylureas', 'glimepiride']",1
   When should you use Humalog (insulin lispro)  versus regular insulin?,"
   When should you use insulin lispro versus regular insulin?
",['lispro'],1
   When should you use Humalog (insulin lispro)  versus regular insulin?,How should I treat polymenorrhea in a 14-year-old girl?,['lispro'],0
   What is Tamiflu (oseltamivir)?,"
   What is oseltamivir?
",['oseltamivir'],1
   What is Tamiflu (oseltamivir)?,"
   Second infectious mononucleosis test negative. Is it a false positive (sic, meant negative)?
",['oseltamivir'],0
   How do you treat a ruptured Baker's cyst (pseudothrombophlebitis)?,"
   How do you treat a ruptured Baker's cyst?
",['pseudothrombophlebitis'],1
   How do you treat a ruptured Baker's cyst (pseudothrombophlebitis)?,How should I treat polymenorrhea in a 14-year-old girl?,['pseudothrombophlebitis'],0
"   How do you do a Cortrosyn (cosyntropin, ACTH) stimulation test to diagnose Addison's disease?","
   How do you do a Cortrosyn stimulation test?
","[""Addison's disease""]",1
"   How do you do a Cortrosyn (cosyntropin, ACTH) stimulation test to diagnose Addison's disease?","
   Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?
","[""Addison's disease""]",0
   What is a normal opening and closing cerebrospinal fluid (CSF) pressure for a lumbar puncture?,"
   What is a normal opening and closing cerebrospinal fluid?
",[],1
   What is a normal opening and closing cerebrospinal fluid (CSF) pressure for a lumbar puncture?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",[],0
"What is a ""low renin, low aldosterone state""? (hyporeninemic-hypoaldosteronism, Type 4 renal tubular acidosis)","
   What is a ""low renin, low aldosterone state""?
","['Type 4 renal tubular acidosis', 'aldosterone']",1
"How do you treat hyperkalemia (elevated potassium), and how do you look for the cause?   How do you treat chronic hyperkalemia? (hyporenin-hypoaldosterone, Type 4 renal tubular acidosis)","
   How do you treat hyperkalemia, and how do you look for the cause?
","['hyperkalemia', 'potassium', 'hyporenin-hypoaldosterone']",1
"How do you treat hyperkalemia (elevated potassium), and how do you look for the cause?   How do you treat chronic hyperkalemia? (hyporenin-hypoaldosterone, Type 4 renal tubular acidosis)","
   Let's give these immunizations.  That's right isn't it?
","['hyperkalemia', 'potassium', 'hyporenin-hypoaldosterone']",0
   What causes uvulitis and how do you treat it?,"
   What causes uvulitis and how do you treat it?
",[],1
   What causes uvulitis and how do you treat it?,"
   What is the dose of Pediazole for this child?  It has been taken out of a reference.
",[],0
   How do you write intravenous (IV) orders for maintenance and replacement fluids for kids?,"
   How do you write intravenous fluid orders for kids?
",[],1
   How do you write intravenous (IV) orders for maintenance and replacement fluids for kids?,How should I treat polymenorrhea in a 14-year-old girl?,[],0
   What is prealbumin and why would you order a serum prealbumin?,"
   What is prealbumin and why would you order a serum prealbumin?
",[],1
"Should we be recommending tamoxifen or raloxifene to women with greater than a 1.67% chance of getting breast cancer in the next 5 years according to the Gail model, and what is the Gail model?",Should we recommend tamoxifen or raloxifene to women with greater than a 1.67% chance of getting breast cancer in the next 5 years?,"['raloxifene', 'tamoxifen', 'breast cancer']",1
"Should we be recommending tamoxifen or raloxifene to women with greater than a 1.67% chance of getting breast cancer in the next 5 years according to the Gail model, and what is the Gail model?","
   What is the cause and treatment of this old man's stomatitis?
","['raloxifene', 'tamoxifen', 'breast cancer']",0
   Should we be giving the pneumococcal vaccine to babies?,"
   Should we be giving the pneumococcal vaccine to babies?
",[],1
   Should we be giving the pneumococcal vaccine to babies?,"
   How do you use Redux?  What are the indications?
",[],0
   How do you get a clean catch urine from an infant?,"
   How do you get a clean catch urine from an infant?
",[],1
   How do you get a clean catch urine from an infant?,"
   What are the indications for getting a digoxin level?
",[],0
   What does squinting and eye rubbing mean in an infant or child?,"
   What does squinting and eye rubbing mean in an infant or child?
",[],1
   What does squinting and eye rubbing mean in an infant or child?,"
   What is the dose of oral Lamisil?
",[],0
   What is the mechanism of edema in myxedema?,"
   What is the mechanism of edema in myxedema?
","['myxedema', 'edema']",1
   Do nonsteroidal anti-inflammatory drugs (NSAID's) cause hypertension?  How commonly?,"
   Do nonsteroidal anti-inflammatory drugs cause hypertension?
",['hypertension'],1
   Do nonsteroidal anti-inflammatory drugs (NSAID's) cause hypertension?  How commonly?,"
   How do you inject the bicipital tendon?
",['hypertension'],0
   What would cause chronic exertional chest pain in a young adult or adolescent?,"
   What would cause chronic exertional chest pain in a young adult or adolescent?
",['chest pain'],1
   What would cause chronic exertional chest pain in a young adult or adolescent?,"
   Can testes not being in the scrotum come from just being tense?
",['chest pain'],0
   How do you do an intralesional injection for someone with pustular or cystic acne?  How do you inject one nodule?,"
   How do you do an intralesional injection for someone with cystic acne?
","['pustular', 'someone', 'cystic acne']",1
   How do you do an intralesional injection for someone with pustular or cystic acne?  How do you inject one nodule?,"
   Woman with polycythemia vera, severe itching, how do you treat itching?
","['pustular', 'someone', 'cystic acne']",0
   How do you prescribe the fat-blocker orlistat (Xenical)?,"
   How do you prescribe the fat-blocker orlistat?
",['orlistat'],1
   How do you prescribe the fat-blocker orlistat (Xenical)?,What are long-term options for hemorrhagic gastritis beyond H2 blockers?,['orlistat'],0
   How do you decide who needs to be admitted to rule out myocardial infarction (MI) in patients who present to the emergency room with atypical chest pain?,"
   How do you decide who to admit to rule out myocardial infarction in patients with atypical chest pain?
","['myocardial infarction', 'MI', 'chest pain']",1
   How do you decide who needs to be admitted to rule out myocardial infarction (MI) in patients who present to the emergency room with atypical chest pain?,"
   What are the indications for getting a digoxin level?
","['myocardial infarction', 'MI', 'chest pain']",0
   Is the new blood sugar monitoring device (AtLast) that diabetics use on the forearm legitimate?,"
   Is the new blood sugar monitoring device (AtLast) legitimate?
",[],1
   Is the new blood sugar monitoring device (AtLast) that diabetics use on the forearm legitimate?,How should I treat polymenorrhea in a 14-year-old girl?,[],0
   What are good drugs to treat hypertension in the elderly?,"
   What are good drugs to treat hypertension in the elderly?
",['hypertension'],1
   What are good drugs to treat hypertension in the elderly?,"
   In this patient with transient ischemic attacks and no murmur, should I do an echocardiogram anyway?
",['hypertension'],0
"   If you have seven investigators and seven sets of field notes, one from each investigator, how do you randomly allocate them so that each one gets a different set of field notes to review?","
   If you have seven investigators and seven sets of field notes, how do you randomly allocate them so that each one gets a different set to review?
",[],1
"   If you have seven investigators and seven sets of field notes, one from each investigator, how do you randomly allocate them so that each one gets a different set of field notes to review?","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",[],0
"   On a treadmill, what is a normal rate-pressure product and what does the rate-pressure product mean?  What does the FAI (functional aerobic impairment) mean?","
   On a treadmill, what is a normal rate-pressure product and what does the rate-pressure product mean?
",['FAI'],1
"   On a treadmill, what is a normal rate-pressure product and what does the rate-pressure product mean?  What does the FAI (functional aerobic impairment) mean?","
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['FAI'],0
   What is an eccrine spiradenoma?,"
   What is an eccrine spiradenoma?
",[],1
   What is an eccrine spiradenoma?,What is in Ortho Novum 1/35?,[],0
   What is the Advanced Cardiac Life Support (ACLS) mnemonic to help remember causes of PEA (pulseless electrical activity) or EMD (electrical mechanical dissociation)?,"
   What is the Advanced Cardiac Life Support mnemonic for causes of pulseless electrical activity and electrical mechanical dissociation?
","['PEA', 'EMD']",1
   What is the Advanced Cardiac Life Support (ACLS) mnemonic to help remember causes of PEA (pulseless electrical activity) or EMD (electrical mechanical dissociation)?,"
   What size pills does digoxin come in?
","['PEA', 'EMD']",0
What would cause global hypokinesis on an echocardiogram (ejection fraction 40%)?  What kinds of cardiomyopathy are there?,"
   What would cause global hypokinesis on an echocardiogram?
","['cardiomyopathy', 'hypokinesis']",1
What would cause global hypokinesis on an echocardiogram (ejection fraction 40%)?  What kinds of cardiomyopathy are there?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['cardiomyopathy', 'hypokinesis']",0
"   What drugs should patients with heart failure be on unless contraindicated, besides diuretics?","
   What drugs should patients with heart failure be on unless contraindicated?
",['heart failure'],1
"   What drugs should patients with heart failure be on unless contraindicated, besides diuretics?",How should I treat polymenorrhea in a 14-year-old girl?,['heart failure'],0
   What are normal heel stick blood gases in a newborn?,"
   What are normal heel stick blood gases in a newborn?
",[],1
   What are normal heel stick blood gases in a newborn?,"
   Is this rash shingles or staphylococcal impetigo?
",[],0
   Should you screen someone for a berry aneurysm with magnetic resonance imaging (MRI) if they have a family history of subarachnoid hemorrhage or intracranial aneurysm?,"
   Should you screen for a berry aneurysm with magnetic resonance imaging if there is a family history of subarachnoid hemorrhage?
","['intracranial aneurysm', 'subarachnoid hemorrhage', 'someone', 'berry aneurysm']",1
   Should you screen someone for a berry aneurysm with magnetic resonance imaging (MRI) if they have a family history of subarachnoid hemorrhage or intracranial aneurysm?,"
   What is the other drug besides Famvir and acyclovir for Herpes Zoster?
","['intracranial aneurysm', 'subarachnoid hemorrhage', 'someone', 'berry aneurysm']",0
   What should you do about a borderline positive treadmill (GXT)?,"
   What should you do about a borderline positive treadmill?
",[],1
   What should you do about a borderline positive treadmill (GXT)?,"
   How do you use Redux?  What are the indications?
",[],0
   What is the clinical significance of mucous retention cysts in the sinuses?  Could that cause a bad taste in the mouth when a patient yawns?,"
   What is the clinical significance of mucous retention cysts in the sinuses?
",['mucous retention cysts'],1
   Is there any information on the use of Celebrex (celecoxib) in migraine?,"
   Is there any information on the use of celecoxib in migraine?
","['Celebrex', 'celecoxib', 'migraine']",1
   Is there any information on the use of Celebrex (celecoxib) in migraine?,How should I treat polymenorrhea in a 14-year-old girl?,"['Celebrex', 'celecoxib', 'migraine']",0
   Should we be using Selsun shampoo or Nizoral (ketoconazole) shampoo as first line therapy for seborrhea (seborrheic dermatitis) of the scalp?  Which is the drug of choice?,"
   Should we use Selsun shampoo or ketoconazole shampoo for seborrhea of the scalp?
","['Selsun', 'ketoconazole', 'seborrhea', 'seborrheic dermatitis']",1
   Should we be using Selsun shampoo or Nizoral (ketoconazole) shampoo as first line therapy for seborrhea (seborrheic dermatitis) of the scalp?  Which is the drug of choice?,"
   Let's give these immunizations.  That's right isn't it?
","['Selsun', 'ketoconazole', 'seborrhea', 'seborrheic dermatitis']",0
   Should all pregnant women be tested for human immunodeficiency virus (HIV)?,"
   Should all pregnant women be tested for human immunodeficiency virus?
",['human immunodeficiency virus (HIV)'],1
   Should all pregnant women be tested for human immunodeficiency virus (HIV)?,"
   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
",['human immunodeficiency virus (HIV)'],0
   What would cause a low serum iron and iron saturation with normal total iron binding capacity (TIBC) and normal ferritin and normal complete blood count (CBC)?,"
   What would cause a low serum iron and iron saturation with normal total iron binding capacity and normal ferritin and normal complete blood count?
",['iron'],1
   What would cause a low serum iron and iron saturation with normal total iron binding capacity (TIBC) and normal ferritin and normal complete blood count (CBC)?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['iron'],0
   How do you test (screen) for Cushing's disease?  How do you do a dexamethasone suppression test?,"
   How do you test for Cushing's disease?
","['dexamethasone', ""Cushing's disease""]",1
   How do you test (screen) for Cushing's disease?  How do you do a dexamethasone suppression test?,"
   Is this a viral or a bacterial infection?
","['dexamethasone', ""Cushing's disease""]",0
   How do you work up and treat pruritus ani (perianal dermatitis)?  What are the causes? (pruritis ani),"
   How do you workup and treat pruritus ani?
","['pruritis', 'pruritus', 'perianal dermatitis']",1
   How do you work up and treat pruritus ani (perianal dermatitis)?  What are the causes? (pruritis ani),"
   Is it worth using hormone replacement therapy in this woman with spotting who will need endometrial biopsy?
","['pruritis', 'pruritus', 'perianal dermatitis']",0
   How should medical students and doctors introduce themselves to patients?  What form of address should they use?,"
   How should medical students and doctors introduce themselves to patients?
",[],1
   How should medical students and doctors introduce themselves to patients?  What form of address should they use?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",[],0
   How do you make the diagnosis of juvenile rheumatoid arthritis (JRA)?,"
   How do you make the diagnosis of juvenile rheumatoid arthritis?
","['JRA', 'juvenile rheumatoid arthritis']",1
   How do you make the diagnosis of juvenile rheumatoid arthritis (JRA)?,"
   What are the strengths of Synthroid and what is appropriate for this patient?
","['JRA', 'juvenile rheumatoid arthritis']",0
   Why should you avoid sunlight if you're on amitriptyline?  That was written on a patient's pill bottle.,"
   Why should you avoid sunlight if you're on amitriptyline?
","['amitriptyline', 'sunlight']",1
   Why should you avoid sunlight if you're on amitriptyline?  That was written on a patient's pill bottle.,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['amitriptyline', 'sunlight']",0
   How would you treat a patient with a phobia for getting into cars or boats?,"
   How would you treat a patient with a phobia of getting into cars or boats?
",['phobia'],1
   Is there a type of headache that gets worse with drinking alcohol?,"
   Is there a type of headache that gets worse with alcohol?
","['alcohol', 'headache']",1
   Is there a type of headache that gets worse with drinking alcohol?,"
   What is the dose of Famvir?
","['alcohol', 'headache']",0
   How do you do a modified Apt test for fetal hemoglobin where you put the sodium hydroxide directly on the bloody material on the diaper?,"
   How do you do a modified Apt test where you put the sodium hydroxide directly on the diaper?
",['sodium hydroxide'],1
   How do you do a modified Apt test for fetal hemoglobin where you put the sodium hydroxide directly on the bloody material on the diaper?,"
   Why did she get Coccidiomycosis?
",['sodium hydroxide'],0
   How do you treat bronchiectasis?,"
   How do you treat bronchiectasis?
",['bronchiectasis'],1
   How do you treat bronchiectasis?,"
   Forty-year-old woman left chest pain, tender fourth rib, psychiatric overlay, how far to workup?
",['bronchiectasis'],0
"   How big does a pneumothorax have to be before you have to insert a chest tube?  If you decide to treat expectantly, how fast does it resolve?","
   How big does a pneumothorax have to be before you insert a chest tube?
",['pneumothorax'],1
   What is a sliding hiatus hernia?,"
   What is a sliding hiatus hernia?
",['hiatus hernia'],1
   Does saw palmetto work for benign prostatic hypertrophy (BPH)?,"
   Does saw palmetto work for benign prostatic hypertrophy?
",['prostatic hypertrophy'],1
   Does saw palmetto work for benign prostatic hypertrophy (BPH)?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['prostatic hypertrophy'],0
   Can fever be a result of hives (urticaria)?,"
   Can fever be a result of hives?
","['fever', 'hives', 'urticaria']",1
   Can fever be a result of hives (urticaria)?,"
   Can you use Prozac along with lithium?
","['fever', 'hives', 'urticaria']",0
   Can prednisone be used to treat alcoholic hepatitis?,"
   Can prednisone be used to treat alcoholic hepatitis?
","['prednisone', 'alcoholic hepatitis']",1
   Can prednisone be used to treat alcoholic hepatitis?,"
   I wonder if this patient could have a rotator cuff thing?
","['prednisone', 'alcoholic hepatitis']",0
   What should you do about the pancytopenia that can occur with alcoholism besides just withdrawing alcohol?,"
   What should you do about the pancytopenia from alcoholism besides withdrawing alcohol?
","['alcoholism', 'alcohol', 'pancytopenia']",1
   What should you do about the pancytopenia that can occur with alcoholism besides just withdrawing alcohol?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['alcoholism', 'alcohol', 'pancytopenia']",0
   How do you diagnose and treat hepatic encephalopathy?,"
   How do you diagnose and treat hepatic encephalopathy?
",['hepatic encephalopathy'],1
   How do you diagnose and treat hepatic encephalopathy?,"
   What antibiotics do you give for diverticulitis? I always have to look it up.
",['hepatic encephalopathy'],0
   When do you need to do a thoracentesis for pleural effusion under ultrasound guidance versus when can you just do it at the bedside?,"
   When do you do a thoracentesis under ultrasound guidance versus at the bedside?
",['pleural effusion'],1
   When do you need to do a thoracentesis for pleural effusion under ultrasound guidance versus when can you just do it at the bedside?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",['pleural effusion'],0
   Is it possible to give a sclerosing agent through a thoracentesis tube in a patient with recurrent malignant pleural effusions?,"
   Is it possible to give a sclerosing agent through a thoracentesis tube for a malignant pleural effusion?
","['malignant pleural effusions', 'sclerosing']",1
   What is a basic classification of lung cancer?,"
   What is a basic classification of lung cancer?
",['lung cancer'],1
   What is a basic classification of lung cancer?,"
   How do you inject the bicipital tendon?
",['lung cancer'],0
What would cause an elevated free thyroxine (T4) and a normal thyroid stimulating hormone (TSH) (on or off replacement)?,"
   What would cause an elevated free thyroxine and a normal thyroid stimulating hormone?
",['thyroxine'],1
What would cause an elevated free thyroxine (T4) and a normal thyroid stimulating hormone (TSH) (on or off replacement)?,"
   What is the cause and treatment of this old man's stomatitis?
",['thyroxine'],0
   What is the differential diagnosis of aphthous stomatitis (mouth ulcers) in a child?,"
   What is the differential diagnosis of aphthous stomatitis in a child?
","['mouth ulcers', 'aphthous stomatitis']",1
   What is the differential diagnosis of aphthous stomatitis (mouth ulcers) in a child?,"
   What are the indications for getting a digoxin level?
","['mouth ulcers', 'aphthous stomatitis']",0
   Can a pulmonary embolus cause T-wave inversion and what electrocardiogram (ECG) changes would you expect?,"
   Can a pulmonary embolus cause T-wave inversion?
","['pulmonary embolus', 'T-wave']",1
   Can a pulmonary embolus cause T-wave inversion and what electrocardiogram (ECG) changes would you expect?,"
   Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.
","['pulmonary embolus', 'T-wave']",0
   How soon after delivery can you start Depo-Provera?,"
   How soon after delivery can you start Depo-Provera?
",['Depo-Provera'],1
   How soon after delivery can you start Depo-Provera?,"
   What is the cause and treatment of this old man's stomatitis?
",['Depo-Provera'],0
   How much potassium should you put in replacement intravenous (IV) fluid in a child or baby?,"
   How much potassium should you put in replacement intravenous fluid in a child or baby?
",['potassium'],1
   How much potassium should you put in replacement intravenous (IV) fluid in a child or baby?,"
   How do you inject the bicipital tendon?
",['potassium'],0
   How do you distinguish among the different kinds of headache?  Are there diagnostic criteria?,"
   How do you distinguish among the different kinds of headache?
",['headache'],1
   How do you distinguish among the different kinds of headache?  Are there diagnostic criteria?,"Patient with pleural effusions, confusion, pCO2 50. Could that pCO2 explain confusion?",['headache'],0
What is the formula to calculate the relationship between pH and pCO2?,What is the formula for the relationship between pH and pCO2?,[],1
What is the formula to calculate the relationship between pH and pCO2?,"
   Let's give these immunizations.  That's right isn't it?
",[],0
What should you do about a Grade 1 or 2 systolic heart murmur in an otherwise healthy newborn?,What should you do about a Grade 1 or 2 systolic murmur in an otherwise healthy newborn?,[],1
What should you do about a Grade 1 or 2 systolic heart murmur in an otherwise healthy newborn?,"
   What is the best and most cost effective way to diagnose sinusitis?
",[],0
   What is the conversion formula for potassium chloride (KCL) between milligrams and milliequivalents?,"
   What is the conversion for potassium chloride between milligrams and milliequivalents?
","['KCL', 'potassium chloride']",1
   What is the conversion formula for potassium chloride (KCL) between milligrams and milliequivalents?,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['KCL', 'potassium chloride']",0
   How do you treat a chronic obstructive pulmonary disease (COPD) exacerbation?,"
   How do you treat a chronic obstructive pulmonary disease exacerbation?
","['chronic obstructive pulmonary disease', 'COPD']",1
   How do you treat a chronic obstructive pulmonary disease (COPD) exacerbation?,"
   What do you add to what to diagnose ventricular hypertrophy on an electrocardiogram?
","['chronic obstructive pulmonary disease', 'COPD']",0
   What is biliary gastritis (bile gastritis) and how do you treat it?,"
   What is biliary gastritis and how do you treat it?
","['biliary gastritis', 'bile gastritis']",1
   What is biliary gastritis (bile gastritis) and how do you treat it?,How should I treat polymenorrhea in a 14-year-old girl?,"['biliary gastritis', 'bile gastritis']",0
   How do you write patient controlled anesthesia (PCA) pump orders?,"
   How do you write patient controlled anesthesia orders?
",[],1
   Does weight loss help obstructive sleep apnea?,"
   Does weight loss help obstructive sleep apnea?
","['apnea', 'weight loss']",1
   Does weight loss help obstructive sleep apnea?,"
   How do you inject the bicipital tendon?
","['apnea', 'weight loss']",0
   What are the long term effects of sleep apnea if it's not treated?,"
   What are the long term effects of sleep apnea if not treated?
",['sleep apnea'],1
   What are the long term effects of sleep apnea if it's not treated?,"
   How do you inject the bicipital tendon?
",['sleep apnea'],0
   What does it mean to have a positive hepatitis B core antibody and a negative hepatitis B surface antigen?,"
   What does it mean to have a positive hepatitis B core antibody and a negative hepatitis B surface antigen?
",['hepatitis B'],1
   What does it mean to have a positive hepatitis B core antibody and a negative hepatitis B surface antigen?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['hepatitis B'],0
   How long should you wait before getting an x-ray of a fracture to check for healing (callus) and when do you need to worry about nonunion?,"
   How long should you wait before getting an x-ray of a fracture to check for healing?
","['fracture', 'nonunion']",1
   How long should you wait before getting an x-ray of a fracture to check for healing (callus) and when do you need to worry about nonunion?,"
   Can you use Prozac along with lithium?
","['fracture', 'nonunion']",0
   Why do you need to get an Anti-HBc (hepatitis B core antibody) instead of just hepatitis B surface antigen (HBsAg) in someone suspected of having acute hepatitis?,"
   Why do you need to get hepatitis B core antibody instead of just hepatitis B surface antigen in someone with acute hepatitis?
","['HBsAg', 'hepatitis B', 'hepatitis', 'someone', 'hepatitis B']",1
   Why do you need to get an Anti-HBc (hepatitis B core antibody) instead of just hepatitis B surface antigen (HBsAg) in someone suspected of having acute hepatitis?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['HBsAg', 'hepatitis B', 'hepatitis', 'someone', 'hepatitis B']",0
   What does aortic stenosis do to the blood pressure?,"
   What does aortic stenosis do to the blood pressure?
",['aortic stenosis'],1
   What does aortic stenosis do to the blood pressure?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['aortic stenosis'],0
